itemid,hasbird
55,0
87,0
99,0
100,1
104,0
156,0
345,0
347,0
349,0
369,0
370,0
371,0
376,0
377,1
378,1
518,1
1042,0
1043,0
1044,0
1045,0
1046,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1748,0
1931,0
1932,1
1933,0
1934,0
1945,0
2151,0
2155,0
2157,1
2421,0
2432,0
2435,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,1
2537,1
2689,0
3093,0
3126,0
3177,0
3178,0
3179,1
3180,1
3182,1
3183,1
3184,1
3185,1
3186,1
3187,0
3188,1
3189,0
3190,1
3191,1
3202,0
5204,1
5560,0
5929,0
5996,1
5997,0
6108,0
7126,0
7133,0
7151,0
7152,0
7173,0
7174,0
7311,0
7313,0
7314,0
7320,1
7321,0
7456,0
7541,0
7542,0
7543,0
7875,0
7885,0
7886,0
7887,0
7888,0
7889,0
7917,0
7972,0
7991,0
7993,0
7994,0
7995,0
7996,0
8059,1
8060,1
9134,1
9188,0
9190,0
9219,0
9221,0
9223,0
9224,0
9225,0
9226,0
9227,0
9228,0
9229,0
9235,1
9236,0
9239,0
11171,0
11485,1
11505,0
11682,1
11683,0
11684,0
11685,0
11686,0
11687,0
11688,0
11689,0
11690,0
11691,0
11692,0
11693,0
11694,0
11695,0
11696,0
11697,0
11698,0
11699,0
11700,0
11701,0
11702,0
11703,0
11732,1
11735,0
11747,0
12699,0
12703,0
12704,0
12708,0
12710,0
12727,0
12728,0
13735,0
13747,0
13767,1
13774,0
13775,0
13777,1
13779,0
13791,1
13792,0
14313,0
14314,0
14385,0
14386,0
14387,0
14522,0
14523,0
14524,0
14525,0
14526,0
14527,0
14528,0
14529,1
14853,0
14854,1
14909,1
15220,1
15221,1
15222,1
15223,1
15224,1
15225,1
15226,0
15287,0
15290,0
15292,0
15293,0
15295,0
15311,0
15349,0
15351,0
15352,0
15392,1
15422,0
15423,0
15424,0
15426,0
15459,1
15464,0
15465,1
15466,0
15467,1
15468,0
15469,1
15470,0
15471,0
15472,0
15473,0
15474,0
15528,0
15541,1
15542,1
15552,1
15553,0
15598,1
15651,0
15652,0
15653,0
15656,0
15657,1
15659,0
15689,0
15790,0
15791,0
15792,0
15849,1
15850,1
15851,0
16007,0
16008,0
16009,0
16371,0
16372,0
16625,1
16626,1
16627,1
16628,1
16629,0
16633,0
16646,1
16673,0
16765,1
16766,1
16767,1
16770,0
16771,0
16782,0
16783,0
16784,0
16834,1
16835,1
16836,0
16837,0
16988,0
16989,0
16990,0
16991,0
16992,0
16993,0
16994,1
16995,0
17001,0
17002,1
17003,0
17004,0
17005,0
17006,0
17007,1
17008,0
17054,0
17055,0
17056,0
17057,0
17058,0
17059,0
17074,0
17075,0
17076,0
17077,0
17078,0
17079,0
17080,0
17081,0
17082,0
17083,0
17090,0
17091,0
17092,0
17100,0
17134,0
17135,0
17136,0
17138,0
17139,0
17140,0
17142,0
17143,0
17144,0
17146,0
17147,0
17153,0
17154,0
17155,1
17156,0
17185,1
17347,1
17348,1
17349,1
17350,1
17351,1
17352,1
17353,1
17354,1
17355,1
17356,1
17472,0
17505,1
17507,1
17508,1
17509,0
17510,1
17511,0
17512,1
17515,0
17517,1
17546,0
17632,0
17851,1
17852,0
17853,0
17854,0
17855,0
17857,0
17858,0
17859,0
17860,0
17861,1
17862,1
17912,0
17913,0
17915,0
17916,0
17970,1
18038,1
18039,1
18042,0
18043,1
18045,1
18046,1
18047,1
18049,1
18050,1
18052,1
18228,1
18229,0
18230,1
18231,1
18233,1
18515,1
18525,0
18755,0
18756,0
18757,0
18765,1
18766,0
18802,0
18803,0
18804,0
18805,1
18806,0
18807,0
18834,0
18894,0
18905,0
18928,1
18929,1
18930,1
19029,1
19030,0
19033,0
19037,1
19257,1
19258,1
19264,1
19271,0
19375,1
19376,0
19422,1
19423,1
19424,0
19492,1
19493,0
19782,0
19797,0
19912,0
19913,0
19938,0
19992,0
19999,1
20000,0
20001,0
20008,0
20011,1
20016,0
20017,0
20018,0
20019,0
20020,1
20021,1
20022,1
20048,0
20049,0
20067,0
20190,1
20191,0
20192,0
20193,1
20194,1
20204,1
20205,1
20206,0
20207,1
20290,0
20291,1
20292,0
20381,0
20384,0
20530,0
20580,0
20692,0
20693,0
20694,0
20695,0
20696,0
20697,0
20698,0
20714,0
20782,0
20784,0
20785,0
20786,0
20787,0
20788,0
20838,0
20988,1
20989,1
21091,1
21106,1
21107,1
21156,0
21245,1
21321,0
21322,0
21421,0
21432,0
21435,0
21601,1
21683,0
21684,0
21704,0
21771,1
21842,1
21888,0
21889,0
21890,0
21891,0
21892,0
21893,0
21894,0
22109,0
22132,0
22133,1
22160,0
22325,1
22326,1
22327,1
22350,0
22383,1
22384,1
22387,0
22412,0
22423,0
22424,1
22437,0
22515,0
22516,0
22517,1
22518,0
22519,0
22521,0
22522,0
22523,0
22721,0
22862,0
22863,0
22950,0
22951,0
22953,0
23015,0
23017,0
23019,0
23024,0
23025,0
23026,0
23040,0
23062,0
23063,0
23064,0
23087,0
23131,1
23192,0
23256,0
23257,0
23258,0
23293,0
23294,0
23295,0
23415,0
23417,0
23454,0
23528,0
23537,1
23538,0
23554,0
23574,0
23605,0
23750,0
23771,1
23779,0
24003,0
24023,0
24025,0
24054,0
24716,0
24718,0
24728,0
24796,0
24797,1
